Данные по сигналу Мгновенный расход ИЛ №1 (т/ч) (т/ч):,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Дата: с 21.12.2017 по 25.12.2018 23:59:59,,,,,,
Время,Значение,Качество,,,,
2018-01-08 14:00:00,442.9495849609375,Хорошее,,,,
2018-01-08 15:00:00,442.8949890136719,Хорошее,,,,
2018-01-08 16:00:00,442.9183044433594,Хорошее,,,,
2018-01-08 17:00:00,442.93310546875,Хорошее,,,,
2018-01-08 18:00:00,442.92303466796875,Хорошее,,,,
2018-01-08 19:00:00,442.8481750488281,Хорошее,,,,
2018-01-08 20:00:00,442.7652282714844,Хорошее,,,,
2018-01-08 21:00:00,442.7687683105469,Хорошее,,,,
2018-01-08 22:00:00,442.7705078125,Хорошее,,,,
2018-01-08 23:00:00,442.7572021484375,Хорошее,,,,
2018-01-09 00:00:00,442.740234375,Хорошее,,,,
2018-01-09 01:00:00,442.7699279785156,Хорошее,,,,
2018-01-09 02:00:00,442.8017883300781,Хорошее,,,,
2018-01-09 03:00:00,456.2388916015625,Хорошее,,,,
2018-01-09 04:00:00,442.8088073730469,Хорошее,,,,
2018-01-09 05:00:00,442.8128662109375,Хорошее,,,,
2018-01-09 06:00:00,442.85986328125,Хорошее,,,,
2018-01-09 07:00:00,442.8301696777344,Хорошее,,,,
2018-01-09 08:00:00,442.7571105957031,Хорошее,,,,
2018-01-09 09:00:00,442.7646484375,Хорошее,,,,
2018-01-09 10:00:00,403.22979736328125,Хорошее,,,,
2018-01-09 11:00:00,465.9023742675781,Хорошее,,,,
2018-01-09 12:00:00,471.6288757324219,Хорошее,,,,
2018-01-09 13:00:00,471.625732421875,Хорошее,,,,
2018-01-09 14:00:00,471.65814208984375,Хорошее,,,,
2018-01-09 15:00:00,474.137939453125,Хорошее,,,,
2018-01-09 16:00:00,477.5973205566406,Хорошее,,,,
2018-01-09 17:00:00,472.08453369140625,Хорошее,,,,
2018-01-09 18:00:00,477.4537658691406,Хорошее,,,,
2018-01-09 19:00:00,477.4398193359375,Хорошее,,,,
2018-01-09 20:00:00,465.80889892578125,Хорошее,,,,
2018-01-09 21:00:00,477.3415222167969,Хорошее,,,,
2018-01-09 22:00:00,474.139404296875,Хорошее,,,,
2018-01-09 23:00:00,483.0273742675781,Хорошее,,,,
2018-01-10 00:00:00,466.5815734863281,Хорошее,,,,
2018-01-10 01:00:00,473.9984436035156,Хорошее,,,,
2018-01-10 02:00:00,465.78070068359375,Хорошее,,,,
2018-01-10 03:00:00,465.01263427734375,Хорошее,,,,
2018-01-10 04:00:00,483.10186767578125,Хорошее,,,,
2018-01-10 05:00:00,469.6665344238281,Хорошее,,,,
2018-01-10 06:00:00,471.6214904785156,Хорошее,,,,
2018-01-10 07:00:00,471.65228271484375,Хорошее,,,,
2018-01-10 08:00:00,419.7350769042969,Хорошее,,,,
2018-01-10 09:00:00,0,Хорошее,,,,
2018-01-10 10:00:00,423.1419982910156,Хорошее,,,,
2018-01-10 11:00:00,418.72369384765625,Хорошее,,,,
2018-01-10 12:00:00,434.8557434082031,Хорошее,,,,
2018-01-10 13:00:00,426.607421875,Хорошее,,,,
2018-01-10 14:00:00,420.25299072265625,Хорошее,,,,
2018-01-10 15:00:00,0,Хорошее,,,,
2018-01-10 16:00:00,419.0843811035156,Хорошее,,,,
2018-01-10 17:00:00,426.7030334472656,Хорошее,,,,
2018-01-10 18:00:00,435.3074035644531,Хорошее,,,,
2018-01-10 19:00:00,420.032470703125,Хорошее,,,,
2018-01-10 20:00:00,420.17364501953125,Хорошее,,,,
2018-01-10 21:00:00,430.65167236328125,Хорошее,,,,
2018-01-10 22:00:00,421.3937683105469,Хорошее,,,,
2018-01-10 23:00:00,428.60601806640625,Хорошее,,,,
2018-01-11 00:00:00,402.81146240234375,Хорошее,,,,
2018-01-11 01:00:00,417.20184326171875,Хорошее,,,,
2018-01-11 02:00:00,418.1644592285156,Хорошее,,,,
2018-01-11 03:00:00,415.2987060546875,Хорошее,,,,
2018-01-11 04:00:00,426.5003967285156,Хорошее,,,,
2018-01-11 05:00:00,424.52239990234375,Хорошее,,,,
2018-01-11 06:00:00,421.3251037597656,Хорошее,,,,
2018-01-11 07:00:00,421.4944763183594,Хорошее,,,,
2018-01-11 08:00:00,417.270263671875,Хорошее,,,,
2018-01-11 09:00:00,426.70245361328125,Хорошее,,,,
2018-01-11 10:00:00,426.87066650390625,Хорошее,,,,
2018-01-11 11:00:00,409.46966552734375,Хорошее,,,,
2018-01-11 12:00:00,418.1014099121094,Хорошее,,,,
2018-01-11 13:00:00,415.5705871582031,Хорошее,,,,
2018-01-11 14:00:00,421.7612609863281,Хорошее,,,,
2018-01-11 15:00:00,409.34912109375,Хорошее,,,,
2018-01-11 16:00:00,415.9698181152344,Хорошее,,,,
2018-01-11 17:00:00,422.2018127441406,Хорошее,,,,
2018-01-11 18:00:00,410.84478759765625,Хорошее,,,,
2018-01-11 19:00:00,424.99725341796875,Хорошее,,,,
2018-01-11 20:00:00,417.8412780761719,Хорошее,,,,
2018-01-11 21:00:00,410.9551086425781,Хорошее,,,,
2018-01-11 22:00:00,415.55682373046875,Хорошее,,,,
2018-01-11 23:00:00,417.66162109375,Хорошее,,,,
2018-01-12 00:00:00,427.2237548828125,Хорошее,,,,
2018-01-12 01:00:00,421.646728515625,Хорошее,,,,
2018-01-12 02:00:00,429.0663146972656,Хорошее,,,,
2018-01-12 03:00:00,437.3606872558594,Хорошее,,,,
2018-01-12 04:00:00,427.31549072265625,Хорошее,,,,
2018-01-12 05:00:00,419.7321472167969,Хорошее,,,,
2018-01-12 06:00:00,435.4638366699219,Хорошее,,,,
2018-01-12 07:00:00,424.7220764160156,Хорошее,,,,
2018-01-12 08:00:00,427.5162353515625,Хорошее,,,,
2018-01-12 09:00:00,419.9267883300781,Хорошее,,,,
2018-01-12 10:00:00,420.42095947265625,Хорошее,,,,
2018-01-12 11:00:00,420.62689208984375,Хорошее,,,,
2018-01-12 12:00:00,410.26617431640625,Хорошее,,,,
2018-01-12 13:00:00,415.7932434082031,Хорошее,,,,
2018-01-12 14:00:00,0,Хорошее,,,,
2018-01-12 15:00:00,427.5863342285156,Хорошее,,,,
2018-01-12 16:00:00,427.4342041015625,Хорошее,,,,
2018-01-12 17:00:00,419.4385681152344,Хорошее,,,,
2018-01-12 18:00:00,418.7655944824219,Хорошее,,,,
2018-01-12 19:00:00,427.4410095214844,Хорошее,,,,
2018-01-12 20:00:00,424.8331298828125,Хорошее,,,,
2018-01-12 21:00:00,411.3031921386719,Хорошее,,,,
2018-01-12 22:00:00,421.697021484375,Хорошее,,,,
2018-01-12 23:00:00,410.7803955078125,Хорошее,,,,
2018-01-13 00:00:00,411.0021667480469,Хорошее,,,,
2018-01-13 01:00:00,421.68438720703125,Хорошее,,,,
2018-01-13 02:00:00,417.5486145019531,Хорошее,,,,
2018-01-13 03:00:00,427.0113830566406,Хорошее,,,,
2018-01-13 04:00:00,426.9620056152344,Хорошее,,,,
2018-01-13 05:00:00,426.7762451171875,Хорошее,,,,
2018-01-13 06:00:00,419.27935791015625,Хорошее,,,,
2018-01-13 07:00:00,419.1213073730469,Хорошее,,,,
2018-01-13 08:00:00,427.14251708984375,Хорошее,,,,
2018-01-13 09:00:00,419.0393981933594,Хорошее,,,,
2018-01-13 10:00:00,427.0694885253906,Хорошее,,,,
2018-01-13 11:00:00,443.19915771484375,Хорошее,,,,
2018-01-13 12:00:00,443.165771484375,Хорошее,,,,
2018-01-13 13:00:00,483.5656433105469,Хорошее,,,,
2018-01-13 14:00:00,443.126220703125,Хорошее,,,,
2018-01-13 15:00:00,0,Хорошее,,,,
2018-01-13 16:00:00,447.7309875488281,Хорошее,,,,
2018-01-13 17:00:00,442.958251953125,Хорошее,,,,
2018-01-13 18:00:00,442.83746337890625,Хорошее,,,,
2018-01-13 19:00:00,442.8449401855469,Хорошее,,,,
2018-01-13 20:00:00,442.878173828125,Хорошее,,,,
2018-01-13 21:00:00,451.84881591796875,Хорошее,,,,
2018-01-13 22:00:00,442.8665771484375,Хорошее,,,,
2018-01-13 23:00:00,442.8868103027344,Хорошее,,,,
2018-01-14 00:00:00,442.86614990234375,Хорошее,,,,
2018-01-14 01:00:00,451.8217468261719,Хорошее,,,,
2018-01-14 02:00:00,442.8172302246094,Хорошее,,,,
2018-01-14 03:00:00,429.41156005859375,Хорошее,,,,
2018-01-14 04:00:00,456.3143615722656,Хорошее,,,,
2018-01-14 05:00:00,442.8689270019531,Хорошее,,,,
2018-01-14 06:00:00,442.781494140625,Хорошее,,,,
2018-01-14 07:00:00,442.76129150390625,Хорошее,,,,
2018-01-14 08:00:00,442.7250061035156,Хорошее,,,,
2018-01-14 09:00:00,442.67138671875,Хорошее,,,,
2018-01-14 10:00:00,442.61822509765625,Хорошее,,,,
2018-01-14 11:00:00,442.67999267578125,Хорошее,,,,
2018-01-14 12:00:00,442.5980529785156,Хорошее,,,,
2018-01-14 13:00:00,442.6039733886719,Хорошее,,,,
2018-01-14 14:00:00,442.5429382324219,Хорошее,,,,
2018-01-14 15:00:00,438.29022216796875,Хорошее,,,,
2018-01-14 16:00:00,442.7523498535156,Хорошее,,,,
2018-01-14 17:00:00,442.71087646484375,Хорошее,,,,
2018-01-14 18:00:00,442.83660888671875,Хорошее,,,,
2018-01-14 19:00:00,442.8114929199219,Хорошее,,,,
2018-01-14 20:00:00,442.5790710449219,Хорошее,,,,
2018-01-14 21:00:00,442.55072021484375,Хорошее,,,,
2018-01-14 22:00:00,442.55694580078125,Хорошее,,,,
2018-01-14 23:00:00,442.665283203125,Хорошее,,,,
2018-01-15 00:00:00,442.65521240234375,Хорошее,,,,
2018-01-15 01:00:00,456.08233642578125,Хорошее,,,,
2018-01-15 02:00:00,442.6504211425781,Хорошее,,,,
2018-01-15 03:00:00,442.6529541015625,Хорошее,,,,
2018-01-15 04:00:00,442.6421813964844,Хорошее,,,,
2018-01-15 05:00:00,442.674560546875,Хорошее,,,,
2018-01-15 06:00:00,442.6622314453125,Хорошее,,,,
2018-01-15 07:00:00,456.0860900878906,Хорошее,,,,
2018-01-15 08:00:00,442.6191101074219,Хорошее,,,,
2018-01-15 09:00:00,0,Хорошее,,,,
2018-01-15 10:00:00,0,Хорошее,,,,
2018-01-15 11:00:00,0,Хорошее,,,,
2018-01-15 12:00:00,0,Хорошее,,,,
2018-01-15 13:00:00,442.6692199707031,Хорошее,,,,
2018-01-15 14:00:00,442.7479553222656,Хорошее,,,,
2018-01-15 15:00:00,0,Хорошее,,,,
